a,w,t,label
-0.8,0.2,1.265,1
-0.8,0.3,1.265,1
-0.8,0.4,1.265,1
-0.8,0.5,1.265,1
-0.8,0.6,1.265,1
-0.8,0.7,1.265,1
-0.8,0.8,1.265,1
-0.8,0.9,1.265,1
-0.8,1,1.265,1
-0.8,1.1,1.265,1
-0.8,1.2,1.264,1
-0.8,1.3,1.264,1
-0.8,1.4,1.264,1
-0.8,1.5,1.263,1
-0.8,1.6,1.261,1
-0.8,1.7,1.259,1
-0.8,1.8,1.254,1
-0.8,1.9,1.236,1
-0.8,2,1.184,1
-0.7,-2,0.403,1
-0.7,-1.9,0.424,1
-0.7,-1.8,0.447,1
-0.7,-1.7,0.473,1
-0.7,-1.6,0.502,1
-0.7,-1.5,0.535,1
-0.7,-1.4,0.572,1
-0.7,-1.3,0.615,1
-0.7,-1.2,0.665,1
-0.7,-1.1,0.723,1
-0.7,-1,0.794,1
-0.7,-0.9,0.881,1
-0.7,-0.8,0.99,1
-0.7,-0.7,1.129,1
-0.7,-0.6,1.311,1
-0.7,-0.5,1.43,1
-0.7,-0.4,1.437,1
-0.7,-0.3,1.44,1
-0.7,-0.2,1.441,1
-0.7,-0.1,1.442,1
-0.7,0,1.443,1
-0.7,0.1,1.443,1
-0.7,0.2,1.443,1
-0.7,0.3,1.443,1
-0.7,0.4,1.443,1
-0.7,0.5,1.443,1
-0.7,0.6,1.443,1
-0.7,0.7,1.443,1
-0.7,0.8,1.443,1
-0.7,0.9,1.443,1
-0.7,1,1.443,1
-0.7,1.1,1.442,1
-0.7,1.2,1.441,1
-0.7,1.3,1.44,1
-0.7,1.4,1.439,1
-0.7,1.5,1.436,1
-0.7,1.6,1.429,1
-0.7,1.7,1.388,1
-0.7,1.8,1.316,1
-0.7,1.9,1.248,1
-0.7,2,1.187,1
-0.6,-2,0.403,1
-0.6,-1.9,1.678,1
-0.6,-1.8,1.678,1
-0.6,-1.7,0.472,1
-0.6,-1.6,0.501,1
-0.6,-1.5,0.534,1
-0.6,-1.4,0.572,1
-0.6,-1.3,0.615,1
-0.6,-1.2,0.665,1
-0.6,-1.1,0.724,1
-0.6,-1,0.794,1
-0.6,-0.9,0.881,1
-0.6,-0.8,0.991,1
-0.6,-0.7,1.13,1
-0.6,-0.6,1.315,1
-0.6,-0.5,1.567,1
-0.6,-0.4,1.67,1
-0.6,-0.3,1.676,1
-0.6,-0.2,1.678,1
-0.6,-0.1,1.679,1
-0.6,0,1.68,1
-0.6,0.1,1.681,1
-0.6,0.2,1.681,1
-0.6,0.3,1.681,1
-0.6,0.4,1.681,1
-0.6,0.5,1.681,1
-0.6,0.6,1.681,1
-0.6,0.7,1.681,1
-0.6,0.8,1.681,1
