a,w,t
-1.3,0.5,1.263
-1.3,0.6,1.263
-1.3,0.7,1.262
-1.3,0.8,1.26
-1.3,0.9,1.257
-1.3,1,1.247
-1.3,1.1,1.185
-1.3,1.2,1.099
-1.3,1.3,1.031
-1.3,1.4,1.262
-1.3,1.5,1.263
-1.3,1.6,1.264
-1.3,1.7,1.264
-1.3,1.8,1.264
-1.3,1.9,1.265
-1.3,2,0.706
-1.2,-2,1.329
-1.2,-1.9,1.329
-1.2,-1.8,1.329
-1.2,-1.7,1.329
-1.2,-1.6,1.329
-1.2,-1.5,1.329
-1.2,-1.4,1.329
-1.2,-1.3,1.33
-1.2,-1.2,1.329
-1.2,-1.1,1.329
-1.2,-1,1.33
-1.2,-0.9,1.33
-1.2,-0.8,1.33
-1.2,-0.7,1.33
-1.2,-0.6,1.329
-1.2,-0.5,1.329
-1.2,-0.4,1.329
-1.2,-0.3,1.329
-1.2,-0.2,1.329
-1.2,-0.1,1.329
-1.2,0,1.329
-1.2,0.1,1.328
-1.2,0.2,1.328
-1.2,0.3,1.328
-1.2,0.4,1.328
-1.2,0.5,1.327
-1.2,0.6,1.326
-1.2,0.7,1.325
-1.2,0.8,1.322
-1.2,0.9,1.315
-1.2,1,1.258
-1.2,1.1,1.157
-1.2,1.2,1.073
-1.2,1.3,0.99
-1.2,1.4,1.327
-1.2,1.5,1.328
-1.2,1.6,1.328
-1.2,1.7,1.328
-1.2,1.8,1.329
-1.2,1.9,1.329
-1.2,2,1.329
-1.1,-2,1.403
-1.1,-1.9,1.404
-1.1,-1.8,1.404
-1.1,-1.7,1.404
-1.1,-1.6,1.405
-1.1,-1.5,1.405
-1.1,-1.4,1.405
-1.1,-1.3,1.405
-1.1,-1.2,1.405
-1.1,-1.1,1.405
-1.1,-1,1.404
-1.1,-0.9,1.405
-1.1,-0.8,1.405
-1.1,-0.7,1.405
-1.1,-0.6,1.405
-1.1,-0.5,1.405
-1.1,-0.4,1.405
-1.1,-0.3,1.405
-1.1,-0.2,1.405
-1.1,-0.1,1.405
-1.1,0,1.404
-1.1,0.1,1.404
-1.1,0.2,1.404
-1.1,0.3,1.403
-1.1,0.4,1.403
-1.1,0.5,1.402
-1.1,0.6,1.401
-1.1,0.7,1.399
-1.1,0.8,1.393
-1.1,0.9,1.348
-1.1,1,1.256
-1.1,1.1,1.123
-1.1,1.2,1.402
-1.1,1.3,0.952
-1.1,1.4,1.403
-1.1,1.5,1.404
-1.1,1.6,1.404
-1.1,1.7,1.404
-1.1,1.8,1.404
-1.1,1.9,1.405
-1.1,2,1.405
-1,-2,1.493
-1,-1.9,1.493
-1,-1.8,1.494
-1,-1.7,1.495
-1,-1.6,1.495
-1,-1.5,1.495
-1,-1.4,1.495
-1,-1.3,1.496
-1,-1.2,1.496
-1,-1.1,1.496
-1,-1,1.496
-1,-0.9,1.495
-1,-0.8,1.496
-1,-0.7,1.496
-1,-0.6,1.496
-1,-0.5,1.496
-1,-0.4,1.496
-1,-0.3,1.496
-1,-0.2,1.495
-1,-0.1,1.495
-1,0,1.495
-1,0.1,1.495
-1,0.2,1.494
-1,0.3,1.494
-1,0.4,1.493
-1,0.5,1.492
-1,0.6,1.49
-1,0.7,1.485
-1,0.8,1.456
-1,0.9,1.33
-1,1,1.179
-1,1.1,1.492
-1,1.2,1.493
-1,1.3,0.907
-1,1.4,1.494
-1,1.5,1.495
